id;product_id;name;search_name;category
;Demand Deposits;"Manutenção de conta
Account Management Fees";Manutenção de conta;fixed commission
;Demand Deposits;"Emissão de extrato Mensal (enviado ao domicílio) 
Monthly Statement Inssuance (sent to home)";Extrato Mensal;optional commission
;Demand Deposits;"Emissão de outros extratos (para além do mensal)
Others Account Statements (besides monthly)";Outros extratos;optional commission
;Demand Deposits;"Emissão de 2ª via extrato
Account Statement Replacement";2ª via;optional commission
;Demand Deposits;"Fotocópias de documentos
Documental copies";Fotocóipias;optional commission
;Demand Deposits;"Levantamento de numerário (ao balcão, com apresentação de cheque)
Cash Withdrawal (Depositing a check to receive cash)";Levamento com cheque;optional commission
;Demand Deposits;"Levantamento de numerário (Ao balcão, sem apresentação de cheque)
Cash Withdrawal (At the counter without check presentation)";Levamento sem cheque;optional commission
;Demand Deposits;"Adesão ao serviço de banca à distância
Remote Bank Service Adherence/Online-Mobile Banking";Adesão serviço distância;optional commission
;Demand Deposits;"Depósito de moedas metálicas (igual ou superior a 100 moedas por dia e por conta) 
Deposit of metal coins (at least 100 coins per day per account)";Depósito moedas;optional commission
;Demand Deposits;"Alteração de titulares
Account Owners Change";Alteração titulares;optional commission
;Demand Deposits;"Consulta de Saldo de conta DO com comprovativo
Balance Inquiry at the counter";Consulta de saldo;optional commission
;Demand Deposits;"Consulta de Movimentos de conta DO com comprovativo
Consulting the transations on the account";Consulta de movimentos;optional commission
;Demand Deposits;"Descoberto bancário
Bank overdraft";Descoberto Bancário;optional commission
;Demand Deposits;"Levantamento USD em contas USD
USD withdrawal in USD accounts";Levantamento USD;optional commission
