id;fees_id;subproduct_id;document_id;name;amount;category;tax_type;tax;tax_amount;status
;;Crédito Habitação Regime Geral e Regime Deficientes;;Reanálise ; 250,00  ;Inicial commissions;;;;Active
;;Crédito Habitação Regime Geral e Regime Deficientes;;Comissão de formalização ; 500,00  ;Inicial commissions;;;;Active
;;Crédito Habitação Regime Geral e Regime Deficientes;;Avaliação  3.1 Imóvel residencial ; 275,00  ;Inicial commissions;;;;Active
;;Crédito Habitação Regime Geral e Regime Deficientes;;Avaliação  3.2 Garagens e arrecadações não anexas ao imóvel residencial ; 130,00  ;Inicial commissions;;;;Active
;;Crédito Habitação Regime Geral e Regime Deficientes;;Comissões associadas a atos administrativos 4.1 Não realização da escritura ; 10,00  ;Inicial commissions;;;;Active
;;Crédito Habitação Regime Geral e Regime Deficientes;;Comissões associadas a atos administrativos 4.2 Alteração do local da escritura ; 50,00  ;Inicial commissions;;;;Active
;;Crédito Habitação Regime Geral e Regime Deficientes;;Comissão de reembolso antecipado parcial 5.1 Taxa fixa ; €-   ;Comissões durante a vigência do contrato ;;;;Active
;;Crédito Habitação Regime Geral e Regime Deficientes;;Comissão de reembolso antecipado parcial 5.2 Taxa variável ; €-   ;Comissões durante a vigência do contrato ;;;;Active
;;Crédito Habitação Regime Geral e Regime Deficientes;;Comissão de recuperação de valores em dívida 6.1 Prestação até 50.000 € ; €81,00 ;Comissões durante a vigência do contrato ;;;;Active
;;Crédito Habitação Regime Geral e Regime Deficientes;;Comissão de recuperação de valores em dívida 6.2 Prestação > 50.000 € ; €-   ;Comissões durante a vigência do contrato ;;;;Active
;;Crédito Habitação Regime Geral e Regime Deficientes;;Comissões associadas a atos administrativos 7.1 Declarações de dívida ; 50,00  ;Comissões durante a vigência do contrato ;;;;Active
;;Crédito Habitação Regime Geral e Regime Deficientes;;Comissões associadas a atos administrativos 7.2 Mudança de regime de crédito ; 0,00  ;Comissões durante a vigência do contrato ;;;;Active
;;Crédito Habitação Regime Geral e Regime Deficientes;;Vistorias (em caso de construção ou realização de obras ou ver nota 14).; 210,00  ;Comissões durante a vigência do contrato ;;;;Active
;;Crédito Habitação Regime Geral e Regime Deficientes;;Comissão de reembolso antecipado total 9.1 Taxa fixa ; €-   ;Comissões no termo do contrato ;;;;Active
;;Crédito Habitação Regime Geral e Regime Deficientes;;Comissão de reembolso antecipado total 9.2 Taxa variável ; €-   ;Comissões no termo do contrato ;;;;Active
;;Crédito Habitação Regime Geral e Regime Deficientes;;Emissão de extratos de conta de empréstimos liquidados ; 100,00  ;Comissões no termo do contrato ;;;;Active
;;Crédito Habitação Regime Geral e Regime Deficientes;;Comissões associadas a atos administrativos 11.1 Declarações de dívida ; 50,00  ;Comissões no termo do contrato ;;;;Active
;;Crédito Habitação Regime Geral e Regime Deficientes;;Comissão de deslocação 12.1 Até 100 Kms ; 175,00  ;Comissões no termo do contrato ;;;;Active
;;Crédito Habitação Regime Geral e Regime Deficientes;;Comissão de deslocação 12.2 101 a 250 Kms ; 350,00  ;Comissões no termo do contrato ;;;;Active
;;Crédito Habitação Regime Geral e Regime Deficientes;;Comissão de deslocação 12.3 > 250 Kms ; 500,00  ;Comissões no termo do contrato ;;;;Active
;;Crédito Multiopções;;Reanálise ;250,00 ;Inicial commissions;;;;Active
;;Crédito Multiopções;;Comissão de formalização ;500,00 ;Inicial commissions;;;;Active
;;Crédito Multiopções;;Avaliação  3.1 Imóvel residencial ;275,00 ;Inicial commissions;;;;Active
;;Crédito Multiopções;;Avaliação  3.2 Garagens e arrecadações não anexas ao imóvel residencial ;130,00 ;Inicial commissions;;;;Active
;;Crédito Multiopções;;Comissões associadas a atos administrativos 4.1 Não realização da escritura ;10,00 ;Inicial commissions;;;;Active
;;Crédito Multiopções;;Comissões associadas a atos administrativos 4.2 Alteração do local da escritura ;50,00 ;Inicial commissions;;;;Active
;;Crédito Multiopções;;Comissão de reembolso antecipado parcial 5.1 Taxa fixa ;0;Comissões durante a vigência do contrato ;;;;Active
;;Crédito Multiopções;;Comissão de reembolso antecipado parcial 5.2 Taxa variável ;0;Comissões durante a vigência do contrato ;;;;Active
;;Crédito Multiopções;;Comissão de recuperação de valores em dívida 6.1 Prestação até 50.000 € ;81;Comissões durante a vigência do contrato ;;;;Active
;;Crédito Multiopções;;Comissão de recuperação de valores em dívida 6.2 Prestação > 50.000 € ;0;Comissões durante a vigência do contrato ;;;;Active
;;Crédito Multiopções;;Comissões associadas a atos administrativos 7.1 Declarações de dívida ;50,00 ;Comissões durante a vigência do contrato ;;;;Active
;;Crédito Multiopções;;Vistorias (em caso de construção ou realização de obras ou ver nota 14).;Vide nota (14) ;Comissões durante a vigência do contrato ;;;;Active
